date,id,temperature,high_temperature,low_temperature,precipitation,hours_of_sunlight,global_irradiance,deepest_snow,amount_of_snowfall,wind_velocity,humidity,atmospheric_pressure,degree_of_cloudiness,weather_06-18,weather_18-06
2014-01-01,abiko,5.7,14.5,-2.1,0.0,8.5,,,,1.7,,,,,
2014-01-02,abiko,4.3,11.3,-1.2,0.0,9.3,,,,1.8,,,,,
2014-01-03,abiko,2.1,7.8,-2.9,0.0,1.6,,,,0.8,,,,,
2014-01-04,abiko,3.8,11.4,-2.0,0.0,5.4,,,,1.4,,,,,
2014-01-05,abiko,2.1,6.6,-2.4,0.0,2.6,,,,1.1,,,,,
2014-01-06,abiko,2.5,8.7,-2.5,0.0,9.2,,,,2.2,,,,,
2014-01-07,abiko,2.0,8.8,-5.2,0.0,7.0,,,,1.2,,,,,
2014-01-08,abiko,4.2,8.9,-1.7,14.5,2.9,,,,1.3,,,,,
2014-01-09,abiko,5.2,9.7,1.6,10.5,4.0,,,,1.6,,,,,
2014-01-10,abiko,1.1,4.9,-3.3,0.0,9.2,,,,2.7,,,,,
2014-01-11,abiko,0.9,8.2,-5.2,0.0,9.1,,,,1.2,,,,,
2014-01-12,abiko,1.9,9.1,-3.5,0.0,5.7,,,,1.4,,,,,
2014-01-13,abiko,2.0,7.0,-2.4,0.0,9.4,,,,1.6,,,,,
2014-01-14,abiko,1.2,6.5,-2.0,0.0,9.2,,,,1.4,,,,,
2014-01-15,abiko,-0.1,3.1,-2.7,0.0,0.3,,,,1.4,,,,,
2014-01-16,abiko,0.6,7.1,-5.9,0.0,9.6,,,,1.1,,,,,
2014-01-17,abiko,1.5,8.8,-2.2,0.0,3.3,,,,1.4,,,,,
2014-01-18,abiko,1.2,6.9,-3.3,0.0,6.2,,,,1.1,,,,,
2014-01-19,abiko,1.4,5.8,-2.6,0.0,9.4,,,,2.7,,,,,
2014-01-20,abiko,1.0,8.4,-4.2,0.0,8.3,,,,1.2,,,,,
2014-01-21,abiko,4.0,11.1,-2.9,0.0,8.4,,,,1.5,,,,,
2014-01-22,abiko,2.4,7.5,-0.9,1.5,8.9,,,,1.3,,,,,
2014-01-23,abiko,3.9,10.0,-0.7,0.0,9.7,,,,2.4,,,,,
2014-01-24,abiko,4.2,12.3,-0.9,0.0,7.1,,,,1.5,,,,,
2014-01-25,abiko,3.6,9.8,-2.0,0.0,1.3,,,,0.9,,,,,
2014-01-26,abiko,7.2,14.7,0.7,0.5,6.4,,,,3.4,,,,,
2014-01-27,abiko,1.8,7.2,-2.1,0.0,9.8,,,,1.7,,,,,
2014-01-28,abiko,5.7,13.5,-2.8,0.0,8.7,,,,2.0,,,,,
2014-01-29,abiko,6.4,12.7,2.1,0.0,9.8,,,,2.1,,,,,
2014-01-30,abiko,7.1,13.8,1.5,2.0,0.4,,,,2.1,,,,,
2014-01-31,abiko,6.6,13.2,0.5,0.0,10.0,,,,2.1,,,,,
2014-02-01,abiko,4.1,9.5,-1.2,0.0,2.5,,,,1.1,,,,,
2014-02-02,abiko,5.7,9.7,3.0,0.0,0.3,,,,1.0,,,,,
2014-02-03,abiko,10.8,18.3,3.6,0.0,4.0,,,,1.8,,,,,
2014-02-04,abiko,2.7,12.2,-2.3,6.5,0.0,,,,2.6,,,,,
2014-02-05,abiko,-0.6,3.2,-4.0,0.5,9.8,,,,2.9,,,,,
2014-02-06,abiko,-0.1,4.3,-4.9,0.0,5.6,,,,1.1,,,,,
2014-02-07,abiko,1.3,5.6,-3.7,0.0,9.5,,,,1.1,,,,,
